team_number,week,manager_name,player_key,player_id,first_name,last_name,full_name,roster_position,team_abbr,display_position,primary_position,injury_status
12,2,Hayden Courtney,449.p.32703,32703,Tee,Higgins,Tee Higgins,BN,Cin,WR,WR,
12,2,Hayden Courtney,449.p.30153,30153,Curtis,Samuel,Curtis Samuel,BN,Buf,WR,WR,
12,2,Hayden Courtney,449.p.40958,40958,Trey,Benson,Trey Benson,BN,Ari,RB,RB,Q
12,2,Hayden Courtney,449.p.33100,33100,Rico,Dowdle,Rico Dowdle,BN,Car,RB,RB,
12,2,Hayden Courtney,449.p.40201,40201,Dontayvion,Wicks,Dontayvion Wicks,BN,GB,WR,WR,
12,2,Hayden Courtney,449.p.40095,40095,Tank,Bigsby,Tank Bigsby,BN,Jax,RB,RB,
12,2,Hayden Courtney,449.p.100003,100003,Chicago,,Chicago,DEF,Chi,DEF,DEF,
12,2,Hayden Courtney,449.p.40926,40926,Jonathon,Brooks,Jonathon Brooks,IR,Car,RB,RB,Q
12,2,Hayden Courtney,449.p.34344,34344,Cameron,Dicker,Cameron Dicker,K,LAC,K,K,
12,2,Hayden Courtney,449.p.29369,29369,Dak,Prescott,Dak Prescott,QB,Dal,QB,QB,Q
12,2,Hayden Courtney,449.p.40055,40055,Bijan,Robinson,Bijan Robinson,RB,Atl,RB,RB,
12,2,Hayden Courtney,449.p.30180,30180,Alvin,Kamara,Alvin Kamara,RB,NO,RB,RB,Q
12,2,Hayden Courtney,449.p.31896,31896,DK,Metcalf,DK Metcalf,W/R/T,Pit,WR,WR,
12,2,Hayden Courtney,449.p.31268,31268,Allen,Lazard,Allen Lazard,W/R/T,NYJ,WR,WR,
12,2,Hayden Courtney,449.p.31868,31868,Deebo,Samuel,Deebo Samuel,WR,Was,WR,WR,
12,2,Hayden Courtney,449.p.40911,40911,Keon,Coleman,Keon Coleman,WR,Buf,WR,WR,
1,3,Tyler Till,449.p.33394,33394,Jaylen,Waddle,Jaylen Waddle,BN,Mia,WR,WR,
1,3,Tyler Till,449.p.33989,33989,Christian,Watson,Christian Watson,BN,GB,WR,WR,Q
1,3,Tyler Till,449.p.32696,32696,Jordan,Love,Jordan Love,BN,GB,QB,QB,
1,3,Tyler Till,449.p.40901,40901,Rome,Odunze,Rome Odunze,BN,Chi,WR,WR,
1,3,Tyler Till,449.p.31424,31424,Gus,Edwards,Gus Edwards,BN,LAC,RB,RB,
1,3,Tyler Till,449.p.28457,28457,Tyler,Lockett,Tyler Lockett,BN,Ten,WR,WR,
1,3,Tyler Till,449.p.40211,40211,Andrei,Iosivas,Andrei Iosivas,BN,Cin,WR,WR,
1,3,Tyler Till,449.p.100023,100023,Pittsburgh,,Pittsburgh,DEF,Pit,DEF,DEF,
1,3,Tyler Till,449.p.25881,25881,Greg,Zuerlein,Greg Zuerlein,K,NYJ,K,K,
1,3,Tyler Till,449.p.30973,30973,Sam,Darnold,Sam Darnold,QB,Sea,QB,QB,
1,3,Tyler Till,449.p.40059,40059,Jahmyr,Gibbs,Jahmyr Gibbs,RB,Det,RB,RB,
1,3,Tyler Till,449.p.34112,34112,Jerome,Ford,Jerome Ford,RB,Cle,RB,RB,Q
1,3,Tyler Till,449.p.32756,32756,Zack,Moss,Zack Moss,W/R/T,Cin,RB,RB,
1,3,Tyler Till,449.p.29360,29360,Demarcus,Robinson,Demarcus Robinson,W/R/T,SF,WR,WR,
1,3,Tyler Till,449.p.33393,33393,Ja'Marr,Chase,Ja'Marr Chase,WR,Cin,WR,WR,
1,3,Tyler Till,449.p.30197,30197,Chris,Godwin,Chris Godwin,WR,TB,WR,WR,Q
2,3,Phil Cowart,449.p.29235,29235,Jared,Goff,Jared Goff,BN,Det,QB,QB,
2,3,Phil Cowart,449.p.40119,40119,Tyjae,Spears,Tyjae Spears,BN,Ten,RB,RB,Q
2,3,Phil Cowart,449.p.30136,30136,Evan,Engram,Evan Engram,BN,Den,TE,W/R/T,Q
2,3,Phil Cowart,449.p.40914,40914,Ja'Lynn,Polk,Ja'Lynn Polk,BN,NE,WR,WR,Q
2,3,Phil Cowart,449.p.31019,31019,Dallas,Goedert,Dallas Goedert,BN,Phi,TE,W/R/T,
2,3,Phil Cowart,449.p.40129,40129,Jake,Moody,Jake Moody,BN,SF,K,K,
2,3,Phil Cowart,449.p.100006,100006,Dallas,,Dallas,BN,Dal,DEF,DEF,
2,3,Phil Cowart,449.p.100034,100034,Houston,,Houston,DEF,Hou,DEF,DEF,
2,3,Phil Cowart,449.p.30346,30346,Harrison,Butker,Harrison Butker,K,KC,K,K,
2,3,Phil Cowart,449.p.32671,32671,Joe,Burrow,Joe Burrow,QB,Cin,QB,QB,
2,3,Phil Cowart,449.p.30161,30161,Joe,Mixon,Joe Mixon,RB,Hou,RB,RB,
2,3,Phil Cowart,449.p.30295,30295,Aaron,Jones Sr.,Aaron Jones Sr.,RB,Min,RB,RB,
2,3,Phil Cowart,449.p.40048,40048,Dalton,Kincaid,Dalton Kincaid,W/R/T,Buf,TE,W/R/T,
2,3,Phil Cowart,449.p.31010,31010,Courtland,Sutton,Courtland Sutton,W/R/T,Den,WR,WR,
2,3,Phil Cowart,449.p.32687,32687,CeeDee,Lamb,CeeDee Lamb,WR,Dal,WR,WR,
2,3,Phil Cowart,449.p.29399,29399,Tyreek,Hill,Tyreek Hill,WR,Mia,WR,WR,Q
3,3,Ryan Courtney,449.p.33996,33996,Kenneth,Walker III,Kenneth Walker III,BN,Sea,RB,RB,Q
3,3,Ryan Courtney,449.p.26650,26650,DeAndre,Hopkins,DeAndre Hopkins,BN,Bal,WR,WR,
3,3,Ryan Courtney,449.p.40041,40041,Jaxon,Smith-Njigba,Jaxon Smith-Njigba,BN,Sea,WR,WR,
3,3,Ryan Courtney,449.p.40196,40196,Chase,Brown,Chase Brown,BN,Cin,RB,RB,Q
3,3,Ryan Courtney,449.p.34125,34125,Ty,Chandler,Ty Chandler,BN,Min,RB,RB,
3,3,Ryan Courtney,449.p.40980,40980,Ray,Davis,Ray Davis,BN,Buf,RB,RB,
3,3,Ryan Courtney,449.p.41010,41010,Jaylen,Wright,Jaylen Wright,BN,Mia,RB,RB,
3,3,Ryan Courtney,449.p.100005,100005,Cleveland,,Cleveland,DEF,Cle,DEF,DEF,
3,3,Ryan Courtney,449.p.26800,26800,Dustin,Hopkins,Dustin Hopkins,K,Cle,K,K,
3,3,Ryan Courtney,449.p.40030,40030,C.J.,Stroud,C.J. Stroud,QB,Hou,QB,QB,
3,3,Ryan Courtney,449.p.33413,33413,Travis,Etienne Jr.,Travis Etienne Jr.,RB,Jax,RB,RB,
3,3,Ryan Courtney,449.p.32725,32725,J.K.,Dobbins,J.K. Dobbins,RB,Den,RB,RB,
3,3,Ryan Courtney,449.p.30996,30996,Calvin,Ridley,Calvin Ridley,W/R/T,Ten,WR,WR,
3,3,Ryan Courtney,449.p.40899,40899,Malik,Nabers,Malik Nabers,W/R/T,NYG,WR,WR,
3,3,Ryan Courtney,449.p.27535,27535,Mike,Evans,Mike Evans,WR,TB,WR,WR,
3,3,Ryan Courtney,449.p.40893,40893,Marvin,Harrison Jr.,Marvin Harrison Jr.,WR,Ari,WR,WR,
4,3,Brian,449.p.40051,40051,Quentin,Johnston,Quentin Johnston,BN,LAC,WR,WR,
4,3,Brian,449.p.40063,40063,Jayden,Reed,Jayden Reed,BN,GB,WR,WR,Q
4,3,Brian,449.p.31908,31908,Terry,McLaurin,Terry McLaurin,BN,Was,WR,WR,
4,3,Brian,449.p.32702,32702,Clyde,Edwards-Helaire,Clyde Edwards-Helaire,BN,NO,RB,RB,
4,3,Brian,449.p.30202,30202,D'Onta,Foreman,D'Onta Foreman,BN,Cle,RB,RB,
4,3,Brian,449.p.34107,34107,Tyler,Allgeier,Tyler Allgeier,BN,Atl,RB,RB,
4,3,Brian,449.p.34044,34044,Jalen,Tolbert,Jalen Tolbert,BN,Dal,WR,WR,
4,3,Brian,449.p.100013,100013,Las Vegas,,Las Vegas,DEF,LV,DEF,DEF,
4,3,Brian,449.p.34207,34207,Isiah,Pacheco,Isiah Pacheco,IR,KC,RB,RB,
4,3,Brian,449.p.40835,40835,Jake,Bates,Jake Bates,K,Det,K,K,
4,3,Brian,449.p.31002,31002,Lamar,Jackson,Lamar Jackson,QB,Bal,QB,QB,
4,3,Brian,449.p.32711,32711,Jonathan,Taylor,Jonathan Taylor,RB,Ind,RB,RB,
4,3,Brian,449.p.34120,34120,Kyren,Williams,Kyren Williams,RB,LAR,RB,RB,
4,3,Brian,449.p.33967,33967,Jameson,Williams,Jameson Williams,W/R/T,Det,WR,WR,
4,3,Brian,449.p.31945,31945,Justice,Hill,Justice Hill,W/R/T,Bal,RB,RB,
4,3,Brian,449.p.32695,32695,Brandon,Aiyuk,Brandon Aiyuk,WR,SF,WR,WR,Q
4,3,Brian,449.p.40084,40084,Rashee,Rice,Rashee Rice,WR,KC,WR,WR,Q
